구분,음식명
면,가락국수
떡,가래떡
찜,가오리찜
어류,가자미
구이,가자미구이
젓갈,가자미식해
조림,가자미조림
채소류,가지
나물,가지나물
선,가지선
"전,적",가지전
찜,가지찜
볶음,간볶음
양념,간장
젓갈,간장게장
"전,적",간전
회,간회
구이,갈비구이
찜,갈비찜
"국,탕",갈비탕/갈빗국
구이,갈치구이
조림,갈치조림
과일류,감
서류,감자
떡,감자떡
볶음,감자볶음
떡,감자송편
"전,적",감자전
조림,감자조림
"국,탕",감잣국
김치,갓김치
밥,강냉이밥
죽,강냉이범벅
한과,강정
양념,갖은양념
떡,개피떡
마른찬,건어포
김치,겉절이
갑각류,게
"전,적",게살전
젓갈,게장
생채,겨자채
양념,겨자초장
음청류,결명자차
떡,경단
"국,탕",계란탕
음청류,계피차
서류,고구마
나물,고구마순나물
"전,적",고구마전
마른찬,고구마튀김
김치,고들빼기김치
구이,고등어(소금)구이
조림,고등어조림
고명,고명
떡,고물
채소류,고사리
나물,고사리나물
채소류,고추
볶음,고추볶음
양념,고추장
장아찌,고추장아찌
"전,적",고추전
조림,고추조림
찜,고추찜
양념,고춧가루
나물,고춧잎나물
생채,골뱅이무침
면,곰국수
"국,탕",곰탕 / 곰국
육류,곱창
구이,곱창구이
전골,곱창전골
과일류,곶감
한과,과편
회,광어회
음청류,구기자차
나물,구절판
"국,탕",국
밥,국밥
면,국수
면,국수장국
전골,국수전골
청주,국화주
패류,굴
밥,(생)굴밥
어류,굴비
"전,적",굴전
젓갈,굴젓
"국,탕",굴탕 / 굴국
마른찬,굴튀김
과일류,귤
해조류,김
구이,김구이
생채,김무침
밥,김밥
마른찬,김부각
김치,김치
면,김치냉면
"전,적",김치누름적
만두,김치만두
면,김치말이
밥,김치밥
볶음,김치볶음
밥,김치볶음밥
"전,적",김치전
찌개,김치찌개
"국,탕",김칫국
김치,깍두기
곡류,깨
한과,깨(엿)강정
면,깨국수 / 깻국국수
양념,깨소금
죽,깨죽
"국,탕",깻국
채소류,깻잎
나물,깻잎나물
마른찬,깻잎부각
장아찌,깻잎장아찌
"전,적",깻잎전
"국,탕",꼬리곰탕
회,꼬막무침
구이,꼬치구이
젓갈,꼴뚜기젓
